Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Sex Code,Year,"Youth literacy rate in percent of persons aged 15-24 years, by sex",Nature of the Data Code,Reporting Type Code
266,Gabon,GAB,11.7872772216797,-0.606876194477081,Sub-Saharan Africa,_T,2022,90.64,E,G
268,Georgia,GEO,43.3713607788086,42.0481300354004,Northern Africa and Western Asia,F,2022,99.89,C,G
268,Georgia,GEO,43.3713607788086,42.0481300354004,Northern Africa and Western Asia,M,2022,99.51,C,G
268,Georgia,GEO,43.3713607788086,42.0481300354004,Northern Africa and Western Asia,_T,2022,99.69,C,G
288,Ghana,GHA,-1.2056235074997,7.96482515335083,Sub-Saharan Africa,F,2020,93.36,E,G
288,Ghana,GHA,-1.2056235074997,7.96482515335083,Sub-Saharan Africa,M,2020,93.59,E,G
288,Ghana,GHA,-1.2056235074997,7.96482515335083,Sub-Saharan Africa,_T,2020,93.48,E,G
324,Guinea,GIN,-11.2817344665527,11.002103805542,Sub-Saharan Africa,F,2021,49.09,E,G
324,Guinea,GIN,-11.2817344665527,11.002103805542,Sub-Saharan Africa,M,2021,71.33,E,G
324,Guinea,GIN,-11.2817344665527,11.002103805542,Sub-Saharan Africa,_T,2021,60.33,E,G
270,Gambia,GMB,-15.3994474411011,13.452959060669,Sub-Saharan Africa,F,2022,79.86,E,G
270,Gambia,GMB,-15.3994474411011,13.452959060669,Sub-Saharan Africa,M,2022,69.64,E,G
270,Gambia,GMB,-15.3994474411011,13.452959060669,Sub-Saharan Africa,_T,2022,74.7,E,G
226,Equatorial Guinea,GNQ,10.4653587341309,1.56579232215881,Sub-Saharan Africa,F,2010,98.3,E,G
226,Equatorial Guinea,GNQ,10.4653587341309,1.56579232215881,Sub-Saharan Africa,M,2010,97.69,E,G
226,Equatorial Guinea,GNQ,10.4653587341309,1.56579232215881,Sub-Saharan Africa,_T,2010,97.97,E,G
320,Guatemala,GTM,-91.2312774658203,15.0027370452881,Latin America and the Caribbean,F,2022,95.86,E,G
320,Guatemala,GTM,-91.2312774658203,15.0027370452881,Latin America and the Caribbean,M,2022,96.41,E,G
320,Guatemala,GTM,-91.2312774658203,15.0027370452881,Latin America and the Caribbean,_T,2022,96.14,E,G
328,Guyana,GUY,-58.9732208251953,4.78801298141479,Latin America and the Caribbean,F,2022,98.21,E,G
328,Guyana,GUY,-58.9732208251953,4.78801298141479,Latin America and the Caribbean,M,2022,97.61,E,G
328,Guyana,GUY,-58.9732208251953,4.78801298141479,Latin America and the Caribbean,_T,2022,97.9,E,G
340,Honduras,HND,-86.5997467041016,14.822431564331,Latin America and the Caribbean,F,2019,97.29,C,G
340,Honduras,HND,-86.5997467041016,14.822431564331,Latin America and the Caribbean,M,2019,94.84,C,G
340,Honduras,HND,-86.5997467041016,14.822431564331,Latin America and the Caribbean,_T,2019,96.08,C,G
332,Haiti,HTI,-72.3364105224609,18.4042644500732,Latin America and the Caribbean,F,2016,82.63,E,G
332,Haiti,HTI,-72.3364105224609,18.4042644500732,Latin America and the Caribbean,M,2016,83.35,E,G
332,Haiti,HTI,-72.3364105224609,18.4042644500732,Latin America and the Caribbean,_T,2016,82.99,E,G
360,Indonesia,IDN,113.91739654541,-0.994582176208496,Eastern and South-Eastern Asia,F,2020,99.78,C,G
360,Indonesia,IDN,113.91739654541,-0.994582176208496,Eastern and South-Eastern Asia,M,2020,99.78,C,G
360,Indonesia,IDN,113.91739654541,-0.994582176208496,Eastern and South-Eastern Asia,_T,2020,99.78,C,G
356,India,IND,79.3608474731445,22.3464202880859,Central and Southern Asia,F,2022,95.54,C,G
356,India,IND,79.3608474731445,22.3464202880859,Central and Southern Asia,M,2022,97.44,C,G
356,India,IND,79.3608474731445,22.3464202880859,Central and Southern Asia,_T,2022,96.54,C,G
364,Iran (Islamic Republic of),IRN,54.1976623535156,32.743709564209,Central and Southern Asia,F,2022,98.93,E,G
364,Iran (Islamic Republic of),IRN,54.1976623535156,32.743709564209,Central and Southern Asia,M,2022,98.69,E,G
364,Iran (Islamic Republic of),IRN,54.1976623535156,32.743709564209,Central and Southern Asia,_T,2022,98.81,E,G
400,Jordan,JOR,37.1302490234375,30.6536598205566,Northern Africa and Western Asia,F,2021,99.56,E,G
400,Jordan,JOR,37.1302490234375,30.6536598205566,Northern Africa and Western Asia,M,2021,99.27,E,G
400,Jordan,JOR,37.1302490234375,30.6536598205566,Northern Africa and Western Asia,_T,2021,99.42,E,G
398,Kazakhstan,KAZ,66.6535949707031,48.0196342468262,Central and Southern Asia,F,2020,99.9,E,G
398,Kazakhstan,KAZ,66.6535949707031,48.0196342468262,Central and Southern Asia,M,2020,100.0,E,G
398,Kazakhstan,KAZ,66.6535949707031,48.0196342468262,Central and Southern Asia,_T,2020,99.9,E,G
404,Kenya,KEN,37.860969543457,0.534797251224518,Sub-Saharan Africa,F,2022,89.78,E,G
404,Kenya,KEN,37.860969543457,0.534797251224518,Sub-Saharan Africa,M,2022,88.23,E,G
404,Kenya,KEN,37.860969543457,0.534797251224518,Sub-Saharan Africa,_T,2022,89.01,E,G
417,Kyrgyzstan,KGZ,74.5232467651367,41.462043762207,Central and Southern Asia,F,2019,99.8,E,G
417,Kyrgyzstan,KGZ,74.5232467651367,41.462043762207,Central and Southern Asia,M,2019,99.7,E,G
