Geogrpahic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Year,Sex Code,Age,Value(%),Value Lower Bound(%),Value Upper Bound(%),Nature of the Data Code
442,Luxembourg,LUX,6.09265661239624,49.7767944335938,Europe and Northern America,2018,F,15 to 49 years old,3.5,1.6,7.4,E
454,Malawi,MWI,33.4884643554688,-13.4081983566284,Sub-Saharan Africa,2018,F,15 to 49 years old,16.6,11.1,24.0,E
462,Maldives,MDV,73.0967254638672,-0.614385008811951,Central and Southern Asia,2018,F,15 to 49 years old,6.1,3.5,10.5,E
466,Mali,MLI,-3.5220160484314,17.3531131744385,Sub-Saharan Africa,2018,F,15 to 49 years old,18.4,12.4,26.5,E
470,Malta,MLT,14.4461755752563,35.8919410705566,Europe and Northern America,2018,F,15 to 49 years old,4.0,1.9,8.1,E
584,Marshall Islands,MHL,171.083908081055,7.11021327972412,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,19.3,11.2,31.6,E
484,Mexico,MEX,-102.51481628418,23.933780670166,Latin America and the Caribbean,2018,F,15 to 49 years old,9.9,6.3,15.3,E
583,Micronesia (Federated States of),FSM,158.225219726563,6.88067007064819,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,21.1,11.5,35.8,E
496,Mongolia,MNG,103.072807312012,46.8389205932617,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,11.5,6.4,20.1,E
499,Montenegro,MNE,19.252140045166,42.7871704101563,Europe and Northern America,2018,F,15 to 49 years old,4.4,2.3,8.1,E
504,Morocco,MAR,-6.28194284439087,31.8440132141113,Northern Africa and Western Asia,2018,F,15 to 49 years old,10.5,5.8,18.5,E
508,Mozambique,MOZ,38.1847991943359,-14.2796392440796,Sub-Saharan Africa,2018,F,15 to 49 years old,16.4,10.9,23.9,E
104,Myanmar,MMR,96.5175247192383,21.1933288574219,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,10.7,5.9,18.6,E
516,Namibia,NAM,17.2190780639648,-22.1381702423096,Sub-Saharan Africa,2018,F,15 to 49 years old,15.9,9.6,25.1,E
520,Nauru,NRU,166.923126220703,-0.528742611408234,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,20.0,10.3,35.2,E
524,Nepal,NPL,83.9467849731445,28.2586631774902,Central and Southern Asia,2018,F,15 to 49 years old,11.4,6.7,18.7,E
528,Netherlands,NLD,5.33148050308228,51.8672904968262,Europe and Northern America,2018,F,15 to 49 years old,5.1,2.6,10.0,E
554,New Zealand,NZL,170.475570678711,-43.9872169494629,Australia and New Zealand,2018,F,15 to 49 years old,4.2,1.6,10.9,E
558,Nicaragua,NIC,-85.0306015014648,12.8421087265015,Latin America and the Caribbean,2018,F,15 to 49 years old,6.4,3.7,10.9,E
562,Niger,NER,9.40016746520996,17.4214305877686,Sub-Saharan Africa,2018,F,15 to 49 years old,12.9,7.8,20.7,E
566,Nigeria,NGA,8.09736347198486,9.58578872680664,Sub-Saharan Africa,2018,F,15 to 49 years old,13.2,8.8,19.5,E
807,North Macedonia,MKD,21.7007904052734,41.6004791259766,Europe and Northern America,2018,F,15 to 49 years old,4.2,2.0,8.4,E
578,Norway,NOR,11.4784641265869,61.3431129455566,Europe and Northern America,2018,F,15 to 49 years old,4.4,2.2,8.5,E
275,State of Palestine,PSE,35.2569427490234,31.9434795379639,Northern Africa and Western Asia,2018,F,15 to 49 years old,19.1,10.4,32.7,E
729,Sudan,SDN,29.9565010070801,16.0264301300049,Northern Africa and Western Asia,2018,F,15 to 49 years old,16.7,8.5,29.9,E
740,Suriname,SUR,-55.9062652587891,4.13260316848755,Latin America and the Caribbean,2018,F,15 to 49 years old,7.7,4.0,14.0,E
752,Sweden,SWE,14.3775339126587,60.6010322570801,Europe and Northern America,2018,F,15 to 49 years old,6.3,3.4,11.4,E
756,Switzerland,CHE,8.22315788269043,46.9661712646484,Europe and Northern America,2018,F,15 to 49 years old,1.7,0.8,3.7,E
762,Tajikistan,TJK,69.2949981689453,38.4306983947754,Central and Southern Asia,2018,F,15 to 49 years old,14.0,8.6,22.0,E
764,Thailand,THA,101.020294189453,15.1308927536011,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,9.3,3.9,20.4,E
626,Timor-Leste,TLS,125.945106506348,-8.7974967956543,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,28.2,19.1,39.7,E
768,Togo,TGO,0.978357672691345,8.53209590911865,Sub-Saharan Africa,2018,F,15 to 49 years old,12.7,7.0,22.1,E
776,Tonga,TON,-175.195999145508,-21.1951141357422,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,16.9,8.6,30.6,E
