,Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Regeion,Sex Code,Age,Year,"Value(per 1,000 population)",Nature of the Data Code
198,748,Eswatini,SWZ,31.5014934539795,-26.5647106170654,Sub-Saharan Africa,F,15 to 19 years old,2013,87.06,CA
200,520,Nauru,NRU,166.923126220703,-0.528742611408234,"Oceania, exc. Australia and New Zealand",F,15 to 19 years old,2015,94.0,C
201,340,Honduras,HND,-86.5997467041016,14.822431564331,Latin America and the Caribbean,F,15 to 19 years old,2018,97.05,CA
202,694,Sierra Leone,SLE,-11.7830657958984,8.56860446929932,Sub-Saharan Africa,F,15 to 19 years old,2018,101.94,CA
203,558,Nicaragua,NIC,-85.0306015014648,12.8421087265015,Latin America and the Caribbean,F,15 to 19 years old,2009,104.32,CA
204,716,Zimbabwe,ZWE,29.8690967559814,-19.0007553100586,Sub-Saharan Africa,F,15 to 19 years old,2017,107.92,CA
205,204,Benin,BEN,2.33993363380432,9.65401649475098,Sub-Saharan Africa,F,15 to 19 years old,2016,108.43,CA
206,180,Dem. Rep. of the Congo,COD,23.6549644470215,-2.87715482711792,Sub-Saharan Africa,F,15 to 19 years old,2016,108.98,CA
207,266,Gabon,GAB,11.7872772216797,-0.606876194477081,Sub-Saharan Africa,F,15 to 19 years old,2010,113.67,CA
209,384,Côte d'Ivoire,CIV,-5.55269002914429,7.62211608886719,Sub-Saharan Africa,F,15 to 19 years old,2017,118.82,C
210,324,Guinea,GIN,-11.2817344665527,11.002103805542,Sub-Saharan Africa,F,15 to 19 years old,2016,119.55,CA
211,120,Cameroon,CMR,12.741982460022,5.69238710403442,Sub-Saharan Africa,F,15 to 19 years old,2017,122.23,CA
212,854,Burkina Faso,BFA,-1.74284386634827,12.2749109268188,Sub-Saharan Africa,F,15 to 19 years old,2018,127.26,C
213,800,Uganda,UGA,32.3910026550293,1.27955734729767,Sub-Saharan Africa,F,15 to 19 years old,2018,127.9,C
214,430,Liberia,LBR,-9.31187915802002,6.44838094711304,Sub-Saharan Africa,F,15 to 19 years old,2018,128.07,CA
