,Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Regeion,Year,Sex Code,Age,Value(%),Value Lower Bound(%),Value Upper Bound(%),Nature of the Data Code
114,426,Lesotho,LSO,28.2536220550537,-29.5804176330566,Sub-Saharan Africa,2018,F,15 to 49 years old,16.5,8.3,29.9,E
115,454,Malawi,MWI,33.4884643554688,-13.4081983566284,Sub-Saharan Africa,2018,F,15 to 49 years old,16.6,11.1,24.0,E
116,729,Sudan,SDN,29.9565010070801,16.0264301300049,Northern Africa and Western Asia,2018,F,15 to 49 years old,16.7,8.5,29.9,E
117,776,Tonga,TON,-175.195999145508,-21.1951141357422,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,16.9,8.6,30.6,E
118,72,Botswana,BWA,23.8138027191162,-22.1881008148193,Sub-Saharan Africa,2018,F,15 to 49 years old,17.1,9.7,28.3,E
119,364,Iran (Islamic Republic of),IRN,54.1976623535156,32.743709564209,Central and Southern Asia,2018,F,15 to 49 years old,17.6,7.4,36.2,E
120,748,Eswatini,SWZ,31.5014934539795,-26.5647106170654,Sub-Saharan Africa,2018,F,15 to 49 years old,17.7,9.8,29.7,E
121,882,Samoa,WSM,-172.443069458008,-13.6154146194458,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,17.8,9.3,31.8,E
122,678,Sao Tome and Principe,STP,6.60977220535278,0.241554871201515,Sub-Saharan Africa,2018,F,15 to 49 years old,18.1,10.0,30.7,E
123,716,Zimbabwe,ZWE,29.8690967559814,-19.0007553100586,Sub-Saharan Africa,2018,F,15 to 49 years old,18.2,12.0,26.4,E
124,68,Bolivia (Plurinational State of),BOL,-64.662239074707,-16.7127342224121,Latin America and the Caribbean,2018,F,15 to 49 years old,18.3,11.3,28.3,E
125,356,India,IND,79.3608474731445,22.3464202880859,Central and Southern Asia,2018,F,15 to 49 years old,18.4,11.3,28.4,E
126,466,Mali,MLI,-3.5220160484314,17.3531131744385,Sub-Saharan Africa,2018,F,15 to 49 years old,18.4,12.4,26.5,E
127,275,State of Palestine,PSE,35.2569427490234,31.9434795379639,Northern Africa and Western Asia,2018,F,15 to 49 years old,19.1,10.4,32.7,E
128,584,Marshall Islands,MHL,171.083908081055,7.11021327972412,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,19.3,11.2,31.6,E
130,694,Sierra Leone,SLE,-11.7830657958984,8.56860446929932,Sub-Saharan Africa,2018,F,15 to 49 years old,19.8,11.4,32.4,E
132,324,Guinea,GIN,-11.2817344665527,11.002103805542,Sub-Saharan Africa,2018,F,15 to 49 years old,20.8,12.1,33.4,E
133,140,Central African Republic,CAF,20.9355945587158,7.00372076034546,Sub-Saharan Africa,2018,F,15 to 49 years old,20.9,11.6,34.6,E
135,120,Cameroon,CMR,12.741982460022,5.69238710403442,Sub-Saharan Africa,2018,F,15 to 49 years old,22.0,14.6,31.8,E
136,266,Gabon,GAB,11.7872772216797,-0.606876194477081,Sub-Saharan Africa,2018,F,15 to 49 years old,22.0,12.2,36.3,E
137,108,Burundi,BDI,29.8908100128174,-3.36638736724854,Sub-Saharan Africa,2018,F,15 to 49 years old,22.1,13.1,35.1,E
138,404,Kenya,KEN,37.860969543457,0.534797251224518,Sub-Saharan Africa,2018,F,15 to 49 years old,22.8,15.1,32.8,E
139,50,Bangladesh,BGD,89.1766052246094,22.8696155548096,Central and Southern Asia,2018,F,15 to 49 years old,23.2,14.8,33.7,E
141,646,Rwanda,RWA,29.9231014251709,-1.99984216690063,Sub-Saharan Africa,2018,F,15 to 49 years old,23.5,15.5,33.5,E
142,834,United Republic of Tanzania,TZA,34.8052101135254,-6.26533269882202,Sub-Saharan Africa,2018,F,15 to 49 years old,24.3,16.1,34.8,E
143,24,Angola,AGO,17.5781707763672,-12.3372478485107,Sub-Saharan Africa,2018,F,15 to 49 years old,24.7,14.5,38.8,E
145,800,Uganda,UGA,32.3910026550293,1.27955734729767,Sub-Saharan Africa,2018,F,15 to 49 years old,26.1,17.9,36.4,E
146,231,Ethiopia,ETH,39.6350517272949,8.63122272491455,Sub-Saharan Africa,2018,F,15 to 49 years old,26.5,17.1,38.4,E
147,728,South Sudan,SSD,30.3261871337891,7.29083919525146,Sub-Saharan Africa,2018,F,15 to 49 years old,26.7,12.7,47.7,E
148,430,Liberia,LBR,-9.31187915802002,6.44838094711304,Sub-Saharan Africa,2018,F,15 to 49 years old,26.9,16.8,40.1,E
149,894,Zambia,ZMB,27.8503284454346,-14.5970106124878,Sub-Saharan Africa,2018,F,15 to 49 years old,27.8,18.7,39.0,E
151,626,Timor-Leste,TLS,125.945106506348,-8.7974967956543,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,28.2,19.1,39.7,E
152,226,Equatorial Guinea,GNQ,10.4653587341309,1.56579232215881,Sub-Saharan Africa,2018,F,15 to 49 years old,28.7,16.1,45.5,E
153,548,Vanuatu,VUT,167.067977905273,-15.3444557189941,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,29.4,16.2,47.6,E
154,598,Papua New Guinea,PNG,145.858779907227,-6.75605726242065,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,30.6,18.9,45.2,E
155,4,Afghanistan,AFG,66.0268783569336,33.831600189209,Central and Southern Asia,2018,F,15 to 49 years old,34.7,21.7,50.4,E
156,180,Dem. Rep. of the Congo,COD,23.6549644470215,-2.87715482711792,Sub-Saharan Africa,2018,F,15 to 49 years old,35.6,23.3,49.7,E
